region,year,month,month_name,date,arrivals
Africa,2008,1,Jan,2008-01-01,9504
Americas,2008,1,Jan,2008-01-01,47540
Australia,2008,1,Jan,2008-01-01,82778
Bangladesh,2008,1,Jan,2008-01-01,7252
Belgium & Luxembourg,2008,1,Jan,2008-01-01,1574
Brunei Darussalam,2008,1,Jan,2008-01-01,4126
Canada,2008,1,Jan,2008-01-01,8760
China,2008,1,Jan,2008-01-01,108486
Denmark,2008,1,Jan,2008-01-01,3348
Egypt,2008,1,Jan,2008-01-01,426
Europe,2008,1,Jan,2008-01-01,124515
Finland,2008,1,Jan,2008-01-01,1513
France,2008,1,Jan,2008-01-01,8771
Germany,2008,1,Jan,2008-01-01,14269
Greater China,2008,1,Jan,2008-01-01,145726
Hong Kong SAR,2008,1,Jan,2008-01-01,19817
India,2008,1,Jan,2008-01-01,58365
Indonesia,2008,1,Jan,2008-01-01,155708
Iran,2008,1,Jan,2008-01-01,1045
Israel,2008,1,Jan,2008-01-01,1147
Italy,2008,1,Jan,2008-01-01,3719
Japan,2008,1,Jan,2008-01-01,52973
Kuwait,2008,1,Jan,2008-01-01,308
Malaysia,2008,1,Jan,2008-01-01,45984
Mauritius,2008,1,Jan,2008-01-01,1015
Myanmar,2008,1,Jan,2008-01-01,6090
Netherlands,2008,1,Jan,2008-01-01,5988
New Zealand,2008,1,Jan,2008-01-01,8994
North Asia,2008,1,Jan,2008-01-01,103460
Norway,2008,1,Jan,2008-01-01,3269
Oceania,2008,1,Jan,2008-01-01,93022
Other Markets In Africa,2008,1,Jan,2008-01-01,3656
Other Markets In Americas,2008,1,Jan,2008-01-01,2333
Other Markets In Europe,2008,1,Jan,2008-01-01,11108
Other Markets In Greater China,2008,1,Jan,2008-01-01,1081
Other Markets In North Asia,2008,1,Jan,2008-01-01,55
Other Markets In Oceania,2008,1,Jan,2008-01-01,1250
Other Markets In South Asia,2008,1,Jan,2008-01-01,2660
Other Markets In Southeast Asia,2008,1,Jan,2008-01-01,2236
Other Markets In West Asia,2008,1,Jan,2008-01-01,1317
Others,2008,1,Jan,2008-01-01,571
Pakistan,2008,1,Jan,2008-01-01,1701
Philippines,2008,1,Jan,2008-01-01,24635
Rep Of Ireland,2008,1,Jan,2008-01-01,2703
Russian Federation,2008,1,Jan,2008-01-01,8683
Saudi Arabia,2008,1,Jan,2008-01-01,443
South Africa (Rep Of),2008,1,Jan,2008-01-01,4407
South Asia,2008,1,Jan,2008-01-01,76189
South Korea,2008,1,Jan,2008-01-01,50432
Southeast Asia,2008,1,Jan,2008-01-01,277557
Spain,2008,1,Jan,2008-01-01,2032
Sri Lanka,2008,1,Jan,2008-01-01,6211
Sweden,2008,1,Jan,2008-01-01,5036
Switzerland,2008,1,Jan,2008-01-01,4884
Taiwan,2008,1,Jan,2008-01-01,16342
Thailand,2008,1,Jan,2008-01-01,25851
Total International Visitor Arrivals By Place Of Residence,2008,1,Jan,2008-01-01,885290
USA,2008,1,Jan,2008-01-01,36447
United Arab Emirates,2008,1,Jan,2008-01-01,2946
United Kingdom,2008,1,Jan,2008-01-01,47618
Vietnam,2008,1,Jan,2008-01-01,12927
West Asia,2008,1,Jan,2008-01-01,7206
Africa,2008,2,Feb,2008-02-01,5022
Americas,2008,2,Feb,2008-02-01,42718
Australia,2008,2,Feb,2008-02-01,52457
Bangladesh,2008,2,Feb,2008-02-01,6700
Belgium & Luxembourg,2008,2,Feb,2008-02-01,1672
Brunei Darussalam,2008,2,Feb,2008-02-01,3338
Canada,2008,2,Feb,2008-02-01,7661
China,2008,2,Feb,2008-02-01,121031
Denmark,2008,2,Feb,2008-02-01,3992
Egypt,2008,2,Feb,2008-02-01,312
Europe,2008,2,Feb,2008-02-01,122346
Finland,2008,2,Feb,2008-02-01,1554
France,2008,2,Feb,2008-02-01,9093
Germany,2008,2,Feb,2008-02-01,15670
Greater China,2008,2,Feb,2008-02-01,167633
Hong Kong SAR,2008,2,Feb,2008-02-01,27263
India,2008,2,Feb,2008-02-01,49078
Indonesia,2008,2,Feb,2008-02-01,124940
Iran,2008,2,Feb,2008-02-01,1259
Israel,2008,2,Feb,2008-02-01,1149
Italy,2008,2,Feb,2008-02-01,3226
Japan,2008,2,Feb,2008-02-01,47449
Kuwait,2008,2,Feb,2008-02-01,310
Malaysia,2008,2,Feb,2008-02-01,50318
Mauritius,2008,2,Feb,2008-02-01,745
Myanmar,2008,2,Feb,2008-02-01,5329
Netherlands,2008,2,Feb,2008-02-01,5948
New Zealand,2008,2,Feb,2008-02-01,5365
North Asia,2008,2,Feb,2008-02-01,88478
Norway,2008,2,Feb,2008-02-01,3348
Oceania,2008,2,Feb,2008-02-01,58822
Other Markets In Africa,2008,2,Feb,2008-02-01,2072
Other Markets In Americas,2008,2,Feb,2008-02-01,2051
Other Markets In Europe,2008,2,Feb,2008-02-01,9823
Other Markets In Greater China,2008,2,Feb,2008-02-01,1510
Other Markets In North Asia,2008,2,Feb,2008-02-01,31
Other Markets In Oceania,2008,2,Feb,2008-02-01,1000
Other Markets In South Asia,2008,2,Feb,2008-02-01,2272
Other Markets In Southeast Asia,2008,2,Feb,2008-02-01,2457
Other Markets In West Asia,2008,2,Feb,2008-02-01,1085
Others,2008,2,Feb,2008-02-01,489
Pakistan,2008,2,Feb,2008-02-01,1252
Philippines,2008,2,Feb,2008-02-01,28674
Rep Of Ireland,2008,2,Feb,2008-02-01,2137
Russian Federation,2008,2,Feb,2008-02-01,3954
Saudi Arabia,2008,2,Feb,2008-02-01,640
South Africa (Rep Of),2008,2,Feb,2008-02-01,1893
South Asia,2008,2,Feb,2008-02-01,65091
South Korea,2008,2,Feb,2008-02-01,40998
Southeast Asia,2008,2,Feb,2008-02-01,255547
Spain,2008,2,Feb,2008-02-01,1795
Sri Lanka,2008,2,Feb,2008-02-01,5789
Sweden,2008,2,Feb,2008-02-01,4112
Switzerland,2008,2,Feb,2008-02-01,4834
Taiwan,2008,2,Feb,2008-02-01,17829
Thailand,2008,2,Feb,2008-02-01,23320
Total International Visitor Arrivals By Place Of Residence,2008,2,Feb,2008-02-01,813028
USA,2008,2,Feb,2008-02-01,33006
United Arab Emirates,2008,2,Feb,2008-02-01,2439
United Kingdom,2008,2,Feb,2008-02-01,51188
Vietnam,2008,2,Feb,2008-02-01,17171
West Asia,2008,2,Feb,2008-02-01,6882
Africa,2008,3,Mar,2008-03-01,7734
Americas,2008,3,Mar,2008-03-01,50240
Australia,2008,3,Mar,2008-03-01,61681
Bangladesh,2008,3,Mar,2008-03-01,7986
Belgium & Luxembourg,2008,3,Mar,2008-03-01,2152
Brunei Darussalam,2008,3,Mar,2008-03-01,5406
Canada,2008,3,Mar,2008-03-01,8239
China,2008,3,Mar,2008-03-01,98180
Denmark,2008,3,Mar,2008-03-01,3720
Egypt,2008,3,Mar,2008-03-01,338
Europe,2008,3,Mar,2008-03-01,141721
Finland,2008,3,Mar,2008-03-01,1431
