year_x,month_x,month_name_x,date,arrivals,year_y,month_y,month_name_y,Available Room Nights,Average Hotel Occupancy Rate,Average Occupancy Rate - Large,Average Occupancy Rate - Medium,Average Occupancy Rate - Small,Average Room Rate,Average Room Rate - Large,Average Room Rate - Medium,Average Room Rate - Small,Gross Lettings,Room Revenue
2016.0,2.0,Feb,2016-02-01,1335097.0,2016.0,2.0,Feb,1470105.0,84.3,87.5,81.6,68.0,238.1,256.0,212.1,140.5,1239794.0,295203.3
2013.0,7.0,Jul,2013-07-01,1419657.0,2013.0,7.0,Jul,1378966.0,,89.6,86.7,,230.3,251.0,193.5,138.4,1208741.0,278335.7
2008.0,10.0,Oct,2008-10-01,849400.0,2008.0,10.0,Oct,930784.0,81.1,83.3,74.3,72.6,236.3,254.8,185.5,110.3,754850.0,178412.0
2024.0,2.0,Feb,2024-02-01,1417807.0,,2.0,Feb,1840695.0,,83.3,82.5,83.7,284.9,,271.7,145.6,1531303.0,439989.4
2009.0,4.0,Apr,2009-04-01,778975.0,2009.0,4.0,Apr,905951.0,69.8,71.8,64.7,62.2,185.2,197.9,157.9,105.0,632178.0,117186.9
2024.0,8.0,Aug,2024-08-01,1539828.0,2024.0,8.0,Aug,1989129.0,87.8,88.2,86.5,88.1,273.8,298.5,254.7,150.6,1747416.0,482894.0
2010.0,2.0,Feb,2010-02-01,857387.0,2010.0,2.0,Feb,958399.0,79.5,81.5,78.4,67.3,,209.3,,98.5,762314.0,144638.0
2024.0,4.0,Apr,2024-04-01,1343319.0,2024.0,4.0,Apr,1881289.0,78.0,77.6,77.4,81.8,268.7,296.0,250.0,138.5,1466819.0,397468.1
2020.0,11.0,Nov,2020-11-01,14749.0,2020.0,11.0,Nov,898017.0,,53.3,50.7,,154.6,156.9,218.3,83.3,486441.0,75209.2
2018.0,7.0,Jul,2018-07-01,1732896.0,2018.0,7.0,Jul,1814618.0,92.4,93.7,90.4,86.6,216.3,232.7,194.7,131.3,1676452.0,362612.2
2023.0,9.0,Sep,2023-09-01,,2023.0,9.0,Sep,1839821.0,82.7,82.1,83.9,84.0,314.5,343.6,296.3,168.8,1521047.0,482855.9
2009.0,8.0,Aug,2009-08-01,844649.0,2009.0,8.0,Aug,983279.0,77.3,80.6,69.7,63.4,170.2,178.2,155.3,101.0,760550.0,129430.4
2016.0,1.0,Jan,2016-01-01,1412123.0,2016.0,1.0,Jan,,82.7,85.5,80.6,67.5,226.0,242.9,202.1,135.0,,291470.2
2022.0,10.0,Oct,2022-10-01,816833.0,2022.0,10.0,Oct,1694491.0,84.4,84.6,82.6,87.5,284.4,302.1,283.4,159.7,1430698.0,407770.5
2012.0,9.0,Sep,2012-09-01,1051348.0,,9.0,Sep,1266141.0,82.6,84.6,79.8,73.4,261.7,284.0,228.2,145.1,1045397.0,273541.9
-481.1398053480415,6.0,Jun,2019-06-01,1551847.0,2019.0,6.0,Jun,1761383.0,86.1,88.2,84.4,74.9,210.6,226.2,186.9,131.3,1517318.0,319771.6
2020.0,3.0,Mar,2020-03-01,240001.0,2020.0,3.0,Mar,1776618.0,40.2,39.8,40.0,43.4,170.6,182.0,164.3,110.4,713530.0,121760.7
2010.0,7.0,Jul,2010-07-01,1095047.0,2010.0,7.0,Jul,1140884.0,87.4,88.1,89.0,79.2,200.8,219.6,169.9,113.0,997618.0,201275.1
2027.9287431388204,6.006796446952405,Jun,2022-06-01,545597.1849967578,2007.966664905507,5.961413515827333,Jun,,78.25158728419106,77.04661761878724,76.41477558517178,84.63241470221011,243.10289883700435,257.37686801311526,247.5634850234294,132.4576278624971,1169430.0760700235,279643.37627603044
2023.0,5.0,May,2023-05-01,1112512.0,2023.0,5.0,May,1823377.0,80.7,80.1,80.9,84.6,264.2,287.4,249.6,146.7,1471897.0,392757.0
2017.0,1.0,Jan,2017-01-01,1480479.0,2017.0,1.0,Jan,1680781.0,81.8,84.5,78.6,69.8,218.2,236.5,191.6,127.5,,299878.5
2021.0,7.0,Jul,2021-07-01,18517.0,2021.0,7.0,Jul,827875.0,56.1,55.0,52.1,64.5,151.3,162.9,188.7,82.2,464342.0,70270.7
2025.0,1.0,Jan,2025-01-01,1633495.0,2025.0,1.0,Jan,1999533.0,81.8,82.3,79.7,83.5,272.2,298.0,252.9,139.8,1636385.0,448776.6
2023.0,1.0,Jan,2023-01-01,931814.0,2023.0,1.0,Jan,1665719.0,71.3,,,77.8,265.5,286.4,266.1,143.0,1187200.0,318240.6
2018.0,6.0,Jun,2018-06-01,1544679.0,2018.0,6.0,Jun,1748319.0,85.5,87.7,83.3,73.7,212.9,227.9,191.9,131.1,1494124.0,318090.4
2009.0,7.0,Jul,2009-07-01,882107.0,2009.0,7.0,Jul,981637.0,78.9,82.2,70.6,65.3,171.6,180.2,155.1,101.3,774074.0,132885.1
2020.0,4.0,Apr,2020-04-01,750.0,2020.0,4.0,Apr,1522885.0,40.4,39.6,41.2,44.2,88.7,91.1,91.7,69.6,615760.0,54612.1
2016.0,6.0,Jun,2016-06-01,1270531.0,2016.0,6.0,Jun,1549090.0,79.8,82.3,77.9,67.0,211.9,229.2,188.0,124.3,1235834.0,261839.5
2016.0,9.0,Sep,2016-09-01,1144063.0,2016.0,9.0,Sep,,,83.5,75.1,,239.1,262.7,197.8,134.4,1324049.0,316679.9
2015.0,1.0,Jan,2015-01-01,1252608.0,2015.0,1.0,Jan,1485768.0,81.2,84.9,77.9,65.4,236.7,258.4,204.5,136.4,1206938.0,286654.9
2024.0,6.0,Jun,2024-06-01,1250293.0,2024.0,6.0,Jun,1901384.0,76.9,76.8,75.7,80.1,260.2,284.6,243.7,141.1,1462537.0,383067.9
2013.0,1.0,Jan,2013-01-01,1291718.0,,1.0,Jan,1326755.0,83.8,86.1,81.1,73.1,237.9,257.7,206.9,138.0,1111834.0,264458.2
2017.0,11.0,Nov,2017-11-01,1397330.0,2017.0,11.0,Nov,1695540.0,85.2,87.5,83.3,72.6,216.2,236.0,182.4,129.4,1444128.0,312208.5
2011.0,10.0,Oct,2011-10-01,5197499.1388733,2011.0,10.0,Oct,1271547.0,85.7,,82.1,73.0,238.4,260.0,193.5,135.1,1089395.0,259687.7
2009.0,5.0,May,2009-05-01,,2009.0,,May,936252.0,67.9,70.1,61.9,60.6,180.6,193.3,151.2,103.5,635397.0,114735.2
2018.0,8.0,Aug,2018-08-01,1683122.0,2018.0,8.0,Aug,1817814.0,91.5,93.5,89.9,80.4,217.7,235.0,191.3,129.9,1663784.0,362218.0
,4.0,Apr,2021-04-01,25737.0,2021.0,4.0,Apr,1011827.0,52.7,53.1,49.6,54.4,155.9,165.2,197.8,78.6,533251.0,83131.9
2017.0,12.0,Dec,2017-12-01,1569616.0,2017.0,12.0,Dec,1752510.0,79.6,81.2,79.1,69.8,221.2,,197.4,136.1,1395744.0,308692.4
2014.0,11.0,Nov,2014-11-01,1144230.0,2014.0,11.0,Nov,1457179.0,85.0,88.6,81.0,70.0,238.0,260.8,204.8,133.6,1238208.0,294705.7
2020.0,1.0,Jan,2020-01-01,1688102.0,2020.0,1.0,Jan,1926285.0,83.0,84.7,81.7,72.6,231.1,245.2,216.8,144.4,1597859.0,369259.6
2015.0,10.0,Oct,2015-10-01,1246947.0,2015.0,10.0,Oct,1567755.0,86.6,89.1,83.3,75.7,237.1,258.7,,137.2,,321753.5
2022.0,1.0,Jan,2022-01-01,57174.0,2022.0,1.0,Jan,959793.0,57.5,53.9,59.4,67.8,184.9,,190.9,107.0,552185.0,102164.8
2019.0,12.0,Dec,2019-12-01,1724961.0,2019.0,12.0,Dec,1912817.0,83.0,85.7,80.1,69.2,,244.6,227.2,150.0,1587373.0,
2014.0,2.0,Feb,2014-02-01,1238239.0,2014.0,2.0,Feb,1299191.0,87.8,91.5,82.8,71.9,257.3,278.3,223.1,148.7,1140438.0,293485.1
2017.0,6.0,Jun,2017-06-01,1387601.0,2017.0,6.0,Jun,1623300.0,83.8,86.1,82.1,71.3,210.5,227.1,190.5,123.8,1359593.0,286297.0
2017.0,5.0,May,2017-05-01,1363897.0,2017.0,5.0,May,1691872.0,82.3,84.4,80.5,72.3,208.9,227.9,181.7,123.7,1392052.0,290820.5
2020.0,7.0,Jul,2020-07-01,6843.0,,7.0,Jul,673407.0,,70.7,59.9,61.8,83.4,79.9,117.0,58.6,447085.0,37825.8
2012.0,8.0,Aug,2012-08-01,1313604.0,2012.0,8.0,Aug,1284335.0,87.7,89.1,86.7,79.4,238.4,257.9,207.2,141.2,1126294.0,268563.2
2021.0,10.0,Oct,2021-10-01,24006.0,2021.0,10.0,Oct,788834.0,64.4,62.1,63.5,72.1,159.5,171.0,196.5,88.5,507708.0,81555.6
2013.0,10.0,Oct,2013-10-01,1203746.0,2013.0,10.0,Oct,,85.8,88.6,83.7,69.8,242.3,262.3,208.9,139.6,1221198.0,295958.1
2021.0,12.0,Dec,2021-12-01,92796.0,2021.0,12.0,Dec,792231.0,74.3,69.3,,,223.8,244.3,256.4,133.6,588766.0,131882.5
2017.0,2.0,Feb,2017-02-01,,2017.0,,Feb,1530594.0,88.0,90.8,85.2,74.8,218.4,237.9,187.2,128.2,1347347.0,
2018.0,,May,2018-05-01,1470891.0,2018.0,5.0,May,1806810.0,82.6,84.6,80.3,73.1,207.0,223.0,184.8,127.2,,308845.3
2014.0,8.0,Aug,2014-08-01,1362935.0,2014.0,8.0,Aug,1495172.0,89.4,92.0,88.1,75.6,239.6,262.1,208.5,140.5,1336287.0,320136.6
2015.0,3.0,Mar,2015-03-01,1201648.0,2015.0,3.0,Mar,1508222.0,83.2,86.5,80.3,68.0,233.7,255.2,200.8,133.0,1255330.0,293344.8
2015.0,12.0,Dec,2015-12-01,1424978.0,2015.0,12.0,Dec,1553306.0,80.0,82.7,,70.0,,250.5,211.1,134.5,1243309.0,289347.2
,10.0,Oct,2025-10-01,1379077.0,2025.0,10.0,Oct,2037672.0,84.8,85.1,82.3,87.6,311.3,344.1,283.8,152.6,,541280.2
2017.0,10.0,Oct,2017-10-01,1402299.0,2017.0,10.0,Oct,1752029.0,83.1,85.6,81.4,69.9,217.9,236.6,,132.2,1456452.0,
2011.0,3.0,Mar,2011-03-01,,2011.0,3.0,Mar,1228152.0,86.6,87.4,86.0,81.7,228.2,249.0,191.8,122.6,1064069.0,242874.3
2010.0,1.0,Jan,2010-01-01,908495.0,2010.0,1.0,Jan,1035954.0,80.7,82.8,78.2,67.8,180.0,195.3,150.3,99.0,835637.0,150752.9
-2013.0,8.0,Aug,2013-08-01,1483520.0,2013.0,8.0,Aug,1375002.0,89.0,90.9,87.6,78.5,238.3,258.1,206.6,143.4,1224045.0,291755.8
,6.0,Jun,2023-06-01,,2023.0,6.0,Jun,1772517.0,81.1,80.3,82.3,84.2,260.5,282.3,248.9,143.2,1436929.0,378026.9
2024.0,7.0,Jul,2024-07-01,1602603.0,2024.0,7.0,Jul,1985856.0,89.4,89.4,89.3,89.5,269.2,290.9,255.7,155.4,1775077.0,482415.8
2008.0,11.0,Nov,2008-11-01,765325.0,2008.0,11.0,Nov,899079.0,79.8,81.7,74.2,72.0,229.9,247.9,181.7,108.4,717551.0,164945.1
2018.0,,Jan,2018-01-01,1563359.0,2018.0,,Jan,1736362.0,83.4,85.8,81.6,70.2,214.1,230.4,189.7,133.1,1448484.0,310182.6
2010.0,6.0,Jun,2010-06-01,951032.0,2010.0,6.0,Jun,1019067.0,87.9,88.8,88.8,,208.3,230.6,172.4,108.3,895331.0,186661.4
2020.0,10.0,Oct,2020-10-01,13399.0,2020.0,10.0,Oct,899779.0,57.6,56.5,56.1,63.8,143.5,144.0,199.2,78.7,518190.0,74360.3
2013.0,9.0,Sep,2013-09-01,1176142.0,,9.0,Sep,1377181.0,82.6,85.2,79.8,,254.9,278.1,213.0,148.9,1137335.0,289885.2
2014.0,4.0,Apr,2014-04-01,,2014.0,4.0,Apr,1427965.0,81.7,,78.9,69.4,245.2,266.0,214.5,143.1,1166186.0,285931.0
2008.0,6.0,Jun,2008-06-01,822954.0,2008.0,6.0,Jun,877230.0,81.4,81.9,79.9,79.9,245.1,266.9,197.4,106.2,714293.0,177628.7
2012.0,,Sep,2012-09-01,1051348.0,2012.0,9.0,Sep,,82.6,84.6,79.8,73.4,261.7,284.0,228.2,145.1,1045397.0,
2017.0,7.0,Jul,2017-07-01,1632135.0,2017.0,7.0,Jul,1682909.0,91.5,92.9,90.9,83.5,,234.5,186.1,139.8,1540486.0,333504.8
2019.0,8.0,Aug,2019-08-01,1736102.0,2019.0,,Aug,1832265.0,92.4,94.0,91.5,82.4,,241.5,200.2,142.4,1693776.0,383423.8
2023.0,7.0,Jul,2023-07-01,,2023.0,7.0,Jul,1833463.0,90.3,90.0,90.9,,282.0,,270.9,160.8,1655533.0,472507.8
2013.0,6.0,Jun,2013-06-01,1288950.0,2013.0,6.0,Jun,1332600.0,87.0,,85.4,76.8,241.2,263.6,203.7,139.9,1159161.0,279590.1
2019.0,11.0,Nov,2019-11-01,1533668.0,2019.0,11.0,Nov,1846820.0,88.8,91.4,86.4,75.0,224.5,238.3,210.1,134.4,1640436.0,368506.3
2024.0,3.0,Mar,2024-03-01,1464865.0,2024.0,3.0,Mar,1953955.0,83.4,83.4,82.7,84.8,290.5,315.6,275.8,161.5,1629847.0,
2019.0,30.684841644065894,May,2019-05-01,1487791.0,2019.0,5.0,May,1811517.0,82.0,83.8,80.7,71.4,206.5,222.3,183.4,127.3,1485293.0,306710.4
2010.0,25.688962566564335,Aug,2010-08-01,996899.0,2010.0,8.0,Aug,1208017.0,82.3,82.9,84.7,72.7,211.7,230.4,177.5,120.8,994352.0,211057.5
2009.0,1.0,Jan,2009-01-01,772138.0,2009.0,1.0,Jan,,66.3,68.7,60.0,55.9,205.2,216.4,180.4,122.6,619834.0,127165.0
2010.0,12.0,Dec,2010-12-01,1127581.0,2010.0,12.0,Dec,1218247.0,83.2,83.9,83.9,76.3,,229.0,185.3,126.7,1013836.0,216222.3
2010.0,5.0,May,2010-05-01,946676.0,2010.0,5.0,May,1057275.0,85.7,87.0,85.0,77.4,199.8,220.4,166.8,104.6,906371.0,181294.0
,7.0,Jul,2011-07-01,1273870.0,2011.0,7.0,Jul,1215300.0,92.8,,89.8,88.2,233.0,252.7,199.6,127.8,1127938.0,263089.6
2005.4002707186285,4.9802060501834795,May,2011-05-01,1059725.6659747858,2025.8516221034654,4.973024616842787,May,1198987.5158609739,84.30330623992384,85.8437142394454,82.80878602420192,79.65000963869159,228.5173847023205,249.1514542376616,196.06109687689843,125.45958150709265,1019690.5601191787,237792.3687537126
2017.0,8.0,Aug,2017-08-01,1559283.0,2017.0,8.0,Aug,1712016.0,89.4,91.2,88.6,78.2,220.0,,186.9,130.6,1529795.0,336563.9
2020.0,12.0,Dec,2020-12-01,24170.0,2020.0,12.0,Dec,977156.0,62.0,65.3,57.9,54.8,186.6,186.0,252.6,105.0,606305.0,113156.2
-2012.0,4.0,Apr,2012-04-01,1201953.0,2012.0,4.0,Apr,1243938.0,84.7,86.0,83.1,77.9,245.6,267.5,,141.1,1053022.0,258644.6
2019.0,1.0,Jan,2019-01-01,1624593.0,2019.0,,Jan,1830834.0,,86.7,83.4,72.7,215.9,231.3,193.1,136.2,1550957.0,334808.5
2023.0,3.0,Mar,2023-03-01,1021040.0,2023.0,3.0,Mar,1726963.0,80.0,79.9,78.4,84.7,258.4,278.8,254.4,142.4,1382410.0,360650.1
2014.0,5.0,May,2014-05-01,1208532.0,2014.0,5.0,May,1480270.0,81.6,84.7,77.9,68.7,238.8,261.3,202.2,133.4,1208510.0,288566.8
2011.0,-6.0,Jun,2011-06-01,1080066.0,2011.0,6.0,Jun,1168526.0,87.9,89.6,84.7,80.3,237.4,257.7,199.7,129.6,1026884.0,243800.9
2016.0,2.0,Feb,2016-02-01,,2016.0,,Feb,1470105.0,84.3,87.5,81.6,68.0,,,212.1,140.5,1239794.0,295203.3
2019.0,9.0,Sep,2019-09-01,1463543.0,2019.0,9.0,Sep,1828671.0,87.1,89.4,85.2,74.6,,251.0,216.6,143.5,1593343.0,375892.7
2014.0,7.0,Jul,2014-07-01,1408400.0,2014.0,7.0,Jul,1466191.0,88.2,90.9,87.0,73.3,234.8,255.1,205.8,139.2,1292656.0,303490.2
2019.0,4.0,Apr,2019-04-01,1596724.0,2019.0,4.0,Apr,1767049.0,85.4,87.3,83.7,75.5,215.0,232.1,189.3,131.8,1509500.0,324915.0
2010.0,3.0,Mar,2010-03-01,928903.0,2010.0,3.0,Mar,1053995.0,87.2,89.1,86.7,74.1,192.4,212.8,157.6,98.6,918563.0,177083.3
2025.0,8.0,Aug,2025-08-01,1609320.0,2025.0,8.0,Aug,2043706.0,89.6,90.0,88.3,90.0,274.8,300.7,254.4,145.8,1831689.0,507422.6
2022.0,,Apr,2022-04-01,295095.0,2022.0,4.0,Apr,1315682.0,66.4,65.9,65.0,71.9,207.2,225.4,,113.9,873546.0,181792.1
,3.0,Mar,2021-03-01,27202.0,2021.0,3.0,Mar,1048233.0,51.4,51.5,48.3,54.6,150.6,158.8,192.1,79.1,539089.0,81373.0
