date,arrivals,arrivals_ma_3,arrivals_ma_6,arrivals_to_Available Room Nights_ratio,arrivals_lag_1,Gross Lettings,Average Occupancy Rate - Large,Average Occupancy Rate - Medium,arrivals_lag_3,Average Hotel Occupancy Rate,Room Revenue,is_peak_season
2008-01-01,885290.0,885290.0,885290.0,0.9990182359844724,,745964.0,85.1,80.9,,84.2,176098.3,0
2008-02-01,813028.0,849159.0,849159.0,0.9621063842376191,885290.0,667755.0,79.2,78.3,,79.0,171955.1,0
2008-03-01,910635.0,869651.0,869651.0,1.0079450377826504,813028.0,779884.0,87.2,83.8,,86.3,187570.5,1
2008-04-01,829438.0,851033.6666666666,859597.75,0.9527320009786477,910635.0,722829.0,83.8,80.0,885290.0,83.0,184276.3,0
2008-05-01,833604.0,857892.3333333334,854399.0,0.925501690342565,829438.0,730766.0,,78.5,813028.0,81.1,180126.8,0
2008-06-01,822954.0,828665.3333333334,849158.1666666666,0.9381269015800855,833604.0,714293.0,81.9,79.9,910635.0,81.4,177628.7,1
2008-07-01,922569.0,859709.0,855371.3333333334,1.022854798742731,822954.0,761225.0,85.2,81.6,829438.0,84.4,180123.9,1
2008-08-01,850016.0,865179.6666666666,861536.0,0.9379994063127275,922569.0,723528.0,80.9,76.6,833604.0,79.8,166743.0,0
2008-09-01,745794.0,839459.6666666666,834062.5,0.8439419126109111,850016.0,652343.0,75.5,68.0,822954.0,73.8,194819.3,0
2008-10-01,849400.0,815070.0,837389.5,0.9125630516177206,745794.0,754850.0,83.3,74.3,922569.0,81.1,178412.0,0
2008-11-01,765325.0,786839.6666666666,826009.6666666666,0.8512312586199225,849400.0,717551.0,81.7,74.2,850016.0,79.8,164945.1,0
2008-12-01,888001.0,834242.0,836850.8333333334,0.9606345806423696,765325.0,671735.0,73.6,68.7,745794.0,72.7,142719.4,1
2009-01-01,772138.0,808488.0,811779.0,,888001.0,619834.0,68.7,65.30000000000001,849400.0,68.97500000000002,127165.0,0
2009-02-01,689935.0,783358.0,785098.8333333334,,772138.0,629067.0,77.6,67.0,765325.0,74.4,127432.3,0
2009-03-01,791236.0,751103.0,792672.5,0.8430776902512389,689935.0,684534.0,75.4,66.6,888001.0,72.9,134475.6,1
2009-04-01,778975.0,753382.0,780935.0,0.8598413602486666,791236.0,632178.0,71.8,65.30000000000001,772138.0,69.8,117186.9,0
2009-05-01,,785105.5,784057.0,,778975.0,635397.0,70.1,65.30000000000001,689935.0,68.97500000000002,114735.2,0
2009-06-01,750404.0,764689.5,756537.6,0.8150478935838129,,690753.0,78.0,67.6,791236.0,75.0,121273.2,1
2009-07-01,882107.0,816255.5,778531.4,0.8986072258816387,750404.0,774074.0,82.2,70.6,778975.0,78.9,132885.1,1
2009-08-01,844649.0,825720.0,809474.2,0.8590116752095028,882107.0,760550.0,80.6,69.7,,77.3,129430.4,0
2009-09-01,101558.0,609438.0,671538.6,0.10542870964594109,844649.0,739059.0,80.2,67.9,750404.0,76.7,147376.9,0
2009-10-01,844953.0,597053.3333333334,684734.2,0.8389927951830198,101558.0,822554.0,84.6,75.9,882107.0,81.7,146802.0,0
2009-11-01,830173.0,592228.0,708974.0,0.8457405462345392,844953.0,826755.0,87.1,79.6,844649.0,,159118.3,0
2009-12-01,972233.0,882453.0,745945.5,0.9613257975015475,830173.0,808403.0,81.6,76.3,101558.0,79.9,140046.4,1
2010-01-01,908495.0,903633.6666666666,750343.5,0.8769637677312239,972233.0,835637.0,82.8,78.2,844953.0,80.7,150752.9,0
2010-02-01,857387.0,912705.0,752466.5,0.8946024624373956,908495.0,762314.0,81.5,78.4,830173.0,79.5,144638.0,0
2010-03-01,928903.0,898261.6666666666,890357.3333333334,0.8813154888633353,857387.0,918563.0,89.1,86.7,972233.0,87.2,177083.3,1
2010-04-01,939013.0,908434.3333333334,906034.0,0.9241053327717265,928903.0,860399.0,86.3,83.9,908495.0,84.7,171834.9,0
2010-05-01,946676.0,938197.3333333334,925451.1666666666,0.8953915533881408,939013.0,906371.0,87.0,85.0,857387.0,85.7,181294.0,0
2010-06-01,951032.0,945573.6666666666,921917.6666666666,0.9332370361938556,946676.0,895331.0,88.8,88.8,928903.0,87.9,186661.4,1
2010-07-01,1095047.0,997585.0,953009.6666666666,0.9598224185610293,951032.0,997618.0,88.1,89.0,939013.0,87.4,201275.1,1
2010-09-01,947585.0,997888.0,968042.6666666666,0.811401762403486,1095047.0,938865.0,81.8,79.6,946676.0,80.4,217845.4,0
2010-10-01,978913.0,1007181.6666666666,976377.6666666666,0.8053589513442627,947585.0,1027801.0,86.0,84.6,951032.0,84.6,219421.6,0
2010-11-01,964170.0,963556.0,980570.5,0.8131727628408462,978913.0,1031973.0,88.7,86.0,1095047.0,87.0,223472.1,0
2010-12-01,1127581.0,1023554.6666666666,1010721.3333333334,0.9255759090103165,964170.0,1013836.0,83.9,83.9,947585.0,83.2,216222.3,1
2011-01-01,1055990.0,1049247.0,1028214.3333333334,0.8711667475143463,1127581.0,994050.0,83.0,82.5,978913.0,82.0,220511.5,0
2011-02-01,990118.0,1057896.3333333333,1010726.1666666666,,1055990.0,921218.0,84.4,82.2,964170.0,82.9,204522.6,0
2011-03-01,,1023054.0,1023354.4,,990118.0,1064069.0,87.4,86.0,1127581.0,86.6,242874.3,1
2011-05-01,1059725.6659747858,1024921.8329873929,1039516.9331949571,0.8838497216245763,,1019690.5601191788,85.8437142394454,82.80878602420192,1055990.0,84.30330623992384,237792.3687537126,0
2011-07-01,1273870.0,1166797.8329873928,1101456.9331949572,1.0481929991006342,1059725.6659747858,1127938.0,,89.8,990118.0,92.8,263089.6,1
2011-08-01,1178511.0,1170702.221991595,1111642.9331949572,0.9298408673278982,1273870.0,1051400.0,85.2,79.5,,83.0,238108.2,0
2011-09-01,1033747.0,1162042.6666666667,1107194.333194957,0.8397265103342507,1178511.0,1032771.0,86.8,78.8,1059725.6659747858,83.9,264679.1,0
2011-10-01,2187266.0,1466508.0,1346623.9331949572,1.720159993960118,1033747.0,1089395.0,,82.1,1273870.0,85.7,259687.7,0
2011-11-01,1027787.0,1416266.6666666667,1293484.444329131,,2187266.0,1084958.0,90.3,83.9,1178511.0,87.7,262033.4,0
2011-12-01,1216637.0,1477230.0,1319636.3333333333,0.9582686158063043,1027787.0,1044875.0,84.1,79.1,1033747.0,82.3,246644.7,1
2012-01-01,1198507.0,1147643.6666666667,1307075.8333333333,0.9426871578993734,1216637.0,1030023.0,83.7,76.8,2187266.0,81.0,241543.9,0
2012-02-01,1134554.0,1183232.6666666667,1299749.6666666667,0.9521800906898927,1198507.0,1054454.0,90.3,85.8,1027787.0,88.5,264886.8,0
2012-03-01,1243133.0,1192064.6666666667,1334647.3333333333,0.9783626338513457,1134554.0,1108491.0,89.2,84.1,1216637.0,87.2,266131.2,1
2012-04-01,1201953.0,1193213.3333333333,1170428.5,0.966247541077175,1243133.0,1053022.0,86.0,83.1,1198507.0,84.7,258644.6,0
2012-05-01,1146448.0,1197178.0,1190205.3333333333,0.8963782019706359,1201953.0,1068702.0,85.6,80.9,1134554.0,83.6,,0
2012-06-01,1157739.0,1168713.3333333333,1180389.0,0.9258023630075368,1146448.0,1081840.0,88.5,84.7,1243133.0,86.5,264327.5,1
2012-08-01,1313604.0,1205930.3333333333,1199571.8333333333,1.0227884291960982,1157739.0,1126294.0,89.1,86.7,1201953.0,87.7,268563.2,0
2012-09-01,1051348.0,1174230.3333333333,1185704.1666666667,0.8303555209447282,1313604.0,1045397.0,84.6,79.8,1146448.0,82.6,273541.9,0
2012-10-01,1192580.0,1185844.0,1177278.6666666667,0.904422080827538,1051348.0,1131439.0,,83.3,1157739.0,85.8,276371.8,0
2012-11-01,1212079.0,1152002.3333333333,1178966.3333333333,0.9383689701916951,1192580.0,1140291.0,89.9,86.1,1313604.0,88.3,275382.6,0
2012-12-01,1360536.0,1255065.0,1214647.6666666667,1.0206655868878138,1212079.0,1105045.0,84.1,,1051348.0,,268803.5,1
2013-01-01,1291718.0,1288111.0,1236977.5,0.9735912255154678,1360536.0,1111834.0,86.1,81.1,1192580.0,83.8,264458.2,0
2013-02-01,1221365.0,1291206.3333333333,1221604.3333333333,1.014277860637849,1291718.0,1021872.0,87.9,81.0,1212079.0,84.9,243203.5,0
2013-03-01,1368891.0,1293991.3333333333,1274528.1666666667,1.0124678817248678,1221365.0,1179190.0,89.5,84.1,1360536.0,87.2,281744.7,1
2013-05-01,1288282.0,1292846.0,1290478.5,0.9399209705332154,1368891.0,,85.8,82.0,1291718.0,83.7,270986.3,0
2013-06-01,1288950.0,1315374.3333333333,1303290.3333333333,0.9672437586344299,1288282.0,1159161.0,,85.4,1221365.0,87.0,279590.1,1
2013-07-01,1419657.0,1332296.3333333333,1313143.8333333333,1.0295075951781296,1288950.0,1208741.0,89.6,86.7,1368891.0,,278335.7,1
2013-08-01,1483520.0,1397375.6666666667,1345110.8333333333,1.0789212823535659,1419657.0,1224045.0,90.9,87.6,1288282.0,89.0,291755.8,0
2013-09-01,1176142.0,1359773.0,1337573.6666666667,0.8540207467132158,1483520.0,1137335.0,85.2,79.8,1288950.0,82.6,289885.2,0
2013-10-01,1203746.0,1287802.6666666667,1310049.5,,1176142.0,1221198.0,88.6,83.7,1419657.0,85.8,295958.1,0
2013-11-01,1184002.0,1187963.3333333333,1292669.5,0.8533273946459562,1203746.0,1184077.0,88.0,83.2,1483520.0,85.3,282871.2,0
2014-01-01,1345842.0,1244530.0,1302151.5,0.9361324149904497,1184002.0,1152949.0,83.9,74.7,1176142.0,80.2,274572.7,0
2014-02-01,1238239.0,1256027.6666666667,1271915.1666666667,0.9530839167728865,1345842.0,1140438.0,91.5,82.8,1203746.0,87.8,293485.1,0
2014-03-01,1297551.0,1293877.3333333333,1240920.3333333333,0.9084430423349324,1238239.0,1221204.0,88.6,82.0,1184002.0,85.5,300339.7,1
2014-04-01,,1267895.0,1253876.0,,1297551.0,1166186.0,,78.9,1345842.0,81.7,285931.0,0
2014-05-01,1208532.0,1253041.5,1254833.2,0.8164261814221855,,1208510.0,84.7,77.9,1238239.0,81.6,288566.8,0
2014-06-01,1181422.0,1194977.0,1254317.2,0.828517469443114,1208532.0,1189990.0,86.0,81.0,1297551.0,83.5,281334.2,1
2014-07-01,1408400.0,1266118.0,1266828.8,0.9605836070582843,1181422.0,1292656.0,90.9,87.0,,88.2,303490.2,1
2014-08-01,1362935.0,1317585.6666666667,1291768.0,0.911556722867521,1408400.0,1336287.0,92.0,88.1,1208532.0,89.4,320136.6,0
2014-09-01,1098626.0,1289987.0,1251983.0,0.7663786362187301,1362935.0,1183472.0,86.5,,1181422.0,82.6,302642.7,0
2014-10-01,1203527.0,1221696.0,1243907.0,0.8067459474242691,1098626.0,1264826.0,88.2,82.1,1408400.0,84.8,300834.1,0
2014-11-01,1144230.0,1148794.3333333333,1233190.0,0.7852358665367354,1203527.0,1238208.0,88.6,81.0,1362935.0,85.0,294705.7,0
2014-12-01,1360541.0,1236099.3333333333,1263043.1666666667,0.90658794037823,1144230.0,1217475.0,,76.3,1098626.0,81.1,295745.6,1
2015-01-01,1252608.0,1252459.6666666667,1237077.8333333333,0.8430704907694264,1360541.0,1206938.0,84.9,77.9,1203527.0,81.2,286654.9,0
2015-02-01,1188818.0,1267322.3333333333,1208058.3333333333,0.8733326819678778,1252608.0,1139015.0,87.2,81.2,1144230.0,83.7,268063.7,0
2015-03-01,1201648.0,1214358.0,1225228.6666666667,0.796730987393774,1188818.0,1255330.0,86.5,80.3,1360541.0,83.2,293344.8,1
2015-04-01,1208624.0,1199696.6666666667,1226078.1666666667,0.8339001340588934,1201648.0,1171392.0,83.1,79.5,1252608.0,80.8,267758.5,0
2015-05-01,1222836.0,1211036.0,1239179.1666666667,0.8163718187772008,1208624.0,1236380.0,84.2,81.0,1188818.0,82.5,,0
2015-06-01,1184747.0,1205402.3333333333,1209880.1666666667,0.8103338604478102,1222836.0,1224995.0,86.4,80.6,1201648.0,83.8,278802.6,1
2015-07-01,1519233.0,1308938.6666666667,1254317.6666666667,1.0047591427987543,1184747.0,1358614.0,91.9,87.2,1208624.0,89.9,306594.7,1
2015-08-01,1445062.0,1383014.0,1297025.0,0.9303263728163216,1519233.0,1408604.0,92.5,89.0,1222836.0,90.7,,0
2015-09-01,1131976.0,1365423.6666666667,1285413.0,0.7497170288057722,1445062.0,1229213.0,84.2,76.8,1184747.0,81.4,302844.6,0
2015-10-01,1246947.0,1274661.6666666667,1291800.1666666667,0.7953705806260668,1131976.0,,89.1,83.3,1519233.0,86.6,321753.5,0
2015-11-01,1203992.0,1194305.0,1288659.5,0.7930605424069548,1246947.0,1259304.0,85.5,79.6,1445062.0,82.9,286892.2,0
2015-12-01,1424978.0,1291972.3333333333,1328698.0,0.9173833633660313,1203992.0,1243309.0,82.7,,1131976.0,80.0,289347.2,1
2016-01-01,1412123.0,1347031.0,1310846.3333333333,,1424978.0,,85.5,80.6,1246947.0,82.7,291470.2,0
2016-02-01,1335097.0,1390732.6666666667,1292518.8333333333,0.908163765061839,1412123.0,1239794.0,87.5,81.6,1203992.0,84.3,295203.3,0
2016-03-01,1406607.0,1384609.0,1338290.6666666667,0.8980599167578066,1335097.0,1305892.0,86.0,81.1,1424978.0,83.4,291642.6,1
2016-05-01,1357543.0,1366415.6666666667,1356723.3333333333,0.8724249818612043,1406607.0,1292030.0,84.9,,1412123.0,83.0,282056.9,0
2016-06-01,1270531.0,1344893.6666666667,1367813.1666666667,0.8201784143087785,1357543.0,1235834.0,82.3,77.9,1335097.0,79.8,261839.5,1
2016-07-01,1622405.0,1416826.3333333333,1400717.6666666667,0.9823523463701697,1270531.0,1493918.0,92.0,89.1,1406607.0,,326777.7,1
2016-08-01,1481876.0,1458270.6666666667,1412343.1666666667,0.8937230903212304,1622405.0,1446341.0,89.6,84.0,1357543.0,87.2,323993.8,0
2016-09-01,1144063.0,1416114.6666666667,1380504.1666666667,,1481876.0,1324049.0,83.5,75.1,1270531.0,,316679.9,0
2016-10-01,1237675.0,1287871.3333333333,1352348.8333333333,0.7319406250924037,1144063.0,1360435.0,83.3,76.1,1622405.0,80.5,297339.9,0
2016-11-01,1235433.0,1205723.6666666667,1331997.1666666667,0.7567991570925819,1237675.0,1330693.0,84.9,76.4,1481876.0,81.5,286621.0,0
2016-12-01,1506134.0,1326414.0,1371264.3333333333,0.8920893052391664,1235433.0,1344107.0,,77.3,1144063.0,79.6,298052.6,1
2017-01-01,1480479.0,1407348.6666666667,1347610.0,0.880827495772801,1506134.0,,84.5,78.6,1237675.0,81.8,299878.5,0
2017-02-01,,1493306.5,1320756.8,,1480479.0,1347347.0,90.8,85.2,1235433.0,88.0,,0
2017-03-01,1480161.0,1480320.0,1387976.4,0.8677474027569089,,1444293.0,87.1,82.2,1506134.0,84.7,310003.4,1
2017-04-01,1470750.0,1475455.5,1434591.4,,1480161.0,1393170.0,87.2,82.7,1480479.0,85.1,298252.0,0
